"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic/latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total"
213598,"Lincoln University",86,10328,65,4821,83,7272,16967,15776,24506,11036,16952,9738,9738,25682,31598,26786,32702,47,36,55,48,29,50,45,46,57,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, highly residential",78,25,2122,85,4,1,66,NA,2,"No",0,42229772,4351489,7798449,0,3087060,18567629,63961103
177968,"Lindenwood University",88,9466,34,4203,62,7621,NA,NA,NA,17600,17600,12500,9000,30500,30500,35700,35700,50,44,56,40,38,54,45,49,54,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, highly residential",70,13,6529,13,5,55,54,NA,1,"No",6,171451662,0,40001109,0,16233761,45705356,140040205
157216,"Lindsey Wilson College",97,19672,57,4837,69,6086,NA,NA,NA,24850,24850,9295,9385,40478,40478,40388,40388,37,33,40,24,50,40,35,38,45,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",61,33,2040,9,1,60,61,NA,0,"No",11,25849431,0,10826472,0,2046829,12960634,38380232
209065,"Linfield University-McMinnville Campus",96,30728,26,4509,66,6729,NA,NA,NA,43302,43302,13055,13055,59007,59007,59007,59007,65,59,69,63,60,66,57,64,72,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",79,100,1376,2,17,58,61,NA,1,"No",1,124537898,0,11965485,0,5105345,28029034,68511406
219976,"Lipscomb University",82,17459,25,4150,50,8742,NA,NA,NA,32144,32144,10250,12652,49546,49546,47144,47144,65,62,68,49,51,69,55,59,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",81,0,2938,7,8,75,61,NA,0,"No",3,85036838,1166311,24451070,1995909,16228039,53715162,153784855
198862,"Livingstone College",95,10827,84,5152,91,7759,NA,NA,NA,18296,18296,3262,6794,28390,28390,26287,26287,24,20,32,23,100,50,23,34,20,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, small, highly residential",50,0,1148,83,0,2,50,NA,0,"No",0,4734310,0,2756794,0,2084787,6851623,31055306
213613,"Lock Haven University",66,5637,28,4634,75,6627,19128,16690,23912,10878,20702,9900,9900,26893,36717,27603,37427,54,49,58,39,46,56,50,56,58,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, medium, primarily residential",65,33,3060,8,4,83,58,6256,1,"No",4,11408804,80959,9491457,1180026,5667876,35081901,83534228
192448,"Long Island University",50,20469,24,4857,35,7877,NA,NA,NA,37763,37763,25000,14020,56283,56283,67263,67263,43,41,44,33,34,57,39,49,55,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, large, primarily residential",74,43,9918,12,13,42,64,NA,5,"No",0,232390240,2354503,46602887,3455230,56959007,144285074,408256239
232566,"Longwood University",62,8310,27,4447,53,6609,19636,14704,24243,13340,29300,10890,10890,27330,43290,27830,43790,69,61,72,68,79,69,63,69,71,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, medium, highly residential",75,57,4324,10,6,74,68,16467,0,"No",6,72395802,230000,5292997,1682180,8995256,40632612,150916574
153825,"Loras College",98,22335,26,4314,69,6535,NA,NA,NA,34184,34184,8275,8275,45570,45570,45570,45570,68,63,74,75,44,69,59,67,74,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",81,100,1412,3,8,79,45,NA,0,"No",0,39654373,522422,9867117,340638,4413180,10037930,45108987
