"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic/latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total"
145372,"Greenville University",97,16800,46,4473,71,7668,NA,NA,NA,27130,27130,6328,9370,40348,40348,40164,40164,59,49,73,35,43,63,71,80,43,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",70,NA,964,15,6,66,47,NA,0,"No",9,20196340,0,7386107,0,1364694,9479591,24783364
153384,"Grinnell College",86,37806,20,4668,39,4537,NA,NA,NA,52392,52392,NA,12810,68302,68302,NA,NA,84,80,87,71,70,87,83,79,86,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",92,NA,1716,5,7,50,54,NA,1,"No",0,1991605000,1226000,25813000,951000,17033000,48168000,227742000
212805,"Grove City College",67,7052,0,NA,0,NA,NA,NA,NA,17930,17930,9770,9770,29550,29550,29550,29550,82,80,83,63,80,82,NA,NA,82,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",88,NA,2338,1,1,91,48,NA,0,"No",0,128200650,0,579704,0,6536550,33261377,95062592
198613,"Guilford College",83,25608,41,4999,72,7064,NA,NA,NA,37120,37120,13000,11200,52770,52770,54570,54570,59,54,65,44,72,62,53,57,67,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, highly residential",68,100,1567,25,9,54,51,NA,0,"No",0,86730608,105439,10309955,171585,4895275,14157787,42858142
173647,"Gustavus Adolphus College",91,28012,25,4350,60,6745,NA,NA,NA,45400,45400,9910,9910,57370,57370,57370,57370,78,80,76,50,68,79,76,85,74,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, small, highly residential",87,NA,2241,3,6,77,58,NA,0,"No",0,183693425,133174,14833151,2906926,5001033,36137627,114610376
212832,"Gwynedd Mercy University",66,19445,30,4605,66,8391,NA,NA,NA,33600,33600,6852,12370,49920,49920,47826,47826,61,53,68,50,50,65,53,50,61,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, primarily residential",82,100,2250,20,5,61,72,NA,0,"No",10,38398000,0,6424000,264000,1479000,32103000,58626000
225201,"Hallmark University",59,20152,57,4875,56,9762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,31,43,20,41,25,51,53,43,"No","Private not-for-profit, 4-year or above","Degree-granting, not primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",69,NA,810,12,44,31,27,NA,NA,"No",24,NA,0,1419504,0,1077399,4045871,15692348
191515,"Hamilton College",57,41305,16,4808,35,4759,NA,NA,NA,54620,54620,NA,13870,69990,69990,NA,NA,93,90,95,83,95,93,92,94,92,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, small, highly residential",94,NA,2005,4,9,63,53,NA,1,"No",0,1012841000,1413000,21247000,0,20158000,59083000,155615000
173665,"Hamline University",96,25843,37,4685,66,6718,NA,NA,NA,41290,41290,10358,10358,53538,53538,53538,53538,63,59,66,35,54,70,57,67,68,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily residential",74,NA,2106,9,9,64,62,NA,0,"No",0,92988042,94723,13724645,3522055,9863925,24181255,91834469
232256,"Hampden-Sydney College",99,27695,16,4465,56,6263,NA,NA,NA,45746,45746,11408,13558,62304,62304,60154,60154,66,65,100,48,60,69,67,60,69,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Distant","Four-year, small, highly residential",81,NA,1072,5,4,86,0,NA,0,"No",0,170668251,76250,13491760,0,4550470,15923976,59338320
166018,"Hampshire College",95,33065,34,4494,67,6473,NA,NA,NA,51668,51668,11606,13606,67174,67174,65174,65174,66,69,64,57,53,70,57,71,67,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, highly residential",79,NA,1191,8,12,60,62,NA,1,"No",0,58355650,2946309,7592582,0,5640622,16065857,58518145
232265,"Hampton University",74,12644,36,4747,66,7061,NA,NA,NA,26702,26702,12285,11778,42380,42380,44587,44587,58,51,61,58,50,58,48,63,66,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",74,33,3672,96,1,1,66,NA,3,"No",3,285344772,16178143,16846130,4621807,18127403,49866550,204490426
177542,"Hannibal-LaGrange University",68,12444,35,4467,49,6985,NA,NA,NA,22750,22750,8148,8108,34700,34700,36604,36604,42,36,50,12,20,49,27,43,45,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, very small, highly residential",59,0,822,4,2,83,59,NA,0,"No",5,8257247,0,2181942,0,586554,3831432,14662289
150756,"Hanover College",100,28154,31,4588,58,6367,NA,NA,NA,37670,37670,11580,11580,51950,51950,51950,51950,72,67,74,82,40,72,69,68,76,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",75,NA,1104,6,3,73,55,NA,0,"No",0,143606741,120688,10160321,0,1591070,14414498,40578415
225247,"Hardin-Simmons University",96,18110,39,4370,58,6560,NA,NA,NA,28990,28990,8080,8080,41046,41046,41046,41046,48,40,58,19,37,55,30,51,60,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, highly residential",68,67,1762,9,19,62,53,NA,1,"No",0,176218609,0,12028718,0,1852991,25488416,95036045
107044,"Harding University",84,10077,23,4479,51,6966,NA,NA,NA,19845,19845,7004,7004,30671,30671,30671,30671,67,62,71,39,57,69,54,71,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, medium, highly residential",85,100,3974,4,4,81,54,NA,0,"No",1,142705175,0,18453014,1663538,12279081,51857133,138829825
177551,"Harris-Stowe State University",87,7727,77,5205,73,8111,10551,10014,12225,5388,10020,6652,9491,21778,26410,18939,23571,9,7,10,9,0,20,9,20,8,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily residential",65,10,1716,82,3,5,67,971,0,"No",4,1414793,49855,3205828,3842156,2689776,10276359,39452845
446640,"Harrisburg University of Science and Technology",55,20412,35,5133,37,9106,NA,NA,NA,23900,23900,9150,9150,35550,35550,36450,36450,43,51,33,29,29,56,33,52,72,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, highly residential",72,0,985,41,12,39,47,NA,0,"No",1,NA,0,16721225,0,4715015,24535416,69164907
191533,"Hartwick College",98,32925,38,4851,74,6622,NA,NA,NA,45510,45510,6000,12460,59370,59370,52610,52610,58,52,63,48,48,61,56,57,62,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",69,NA,1176,10,5,63,59,NA,0,"No",0,77304468,132102,9859906,402161,1642242,16394424,44205928
166027,"Harvard University",44,49372,12,4859,2,5978,NA,NA,NA,50420,50420,NA,17160,71650,71650,NA,NA,98,97,98,99,99,98,97,100,98,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, large, highly residential",99,NA,9950,8,11,41,50,NA,33,"No",9,39233736000,1138659000,209528000,0,862827000,1293726000,7693842000
115409,"Harvey Mudd College",68,36443,13,4620,39,6024,NA,NA,NA,56620,56620,NA,18127,76947,76947,NA,NA,92,90,94,50,88,90,94,95,91,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, highly residential",97,NA,902,3,20,31,48,NA,NA,"No",0,316815347,4025138,7860600,1075770,6728053,30426186,87383058
181127,"Hastings College",92,21917,31,4576,65,6522,NA,NA,NA,30050,30050,9700,9700,44678,44678,44678,44678,53,46,62,18,50,55,48,53,57,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",66,NA,1048,4,9,71,50,NA,0,"No",0,100284262,0,7769323,0,1031819,8396405,27728144
212911,"Haverford College",48,50065,16,4733,18,6938,NA,NA,NA,54838,54838,16402,16402,73902,73902,73902,73902,92,92,93,83,86,93,90,81,94,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, highly residential",97,NA,1310,7,10,53,51,NA,3,"No",0,518884972,4410171,16885502,0,7718772,38205151,120189214
141644,"Hawaii Pacific University",65,14049,26,4247,32,6499,NA,NA,NA,25980,25980,16280,14880,44414,44414,45814,45814,47,47,47,42,34,36,38,58,39,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, primarily nonresidential",60,30,3545,6,15,23,59,NA,1,"No",13,44644947,4715288,15666672,0,10285003,22326493,76010356
145497,"Hebrew Theological College",49,7596,19,5959,19,6008,NA,NA,NA,12920,12920,11988,12380,32194,32194,31802,31802,5,3,5,NA,NA,5,3,0,9,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, very small, highly residential",88,0,167,0,2,92,80,NA,NA,"No",2,862700,0,249723,0,242814,1391594,8312433
203085,"Heidelberg University",99,21037,40,4516,83,6641,NA,NA,NA,31000,31000,4968,10400,44400,44400,38968,38968,50,41,64,13,14,57,44,50,62,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",67,NA,1047,9,3,80,49,NA,0,"No",0,52245539,1237197,8193622,0,2870822,12029950,37280802
166054,"Hellenic College-Holy Cross Greek Orthodox School of Theology",100,14468,38,4234,53,7352,NA,NA,NA,22490,22490,18500,16192,41282,41282,43690,43690,69,100,64,NA,NA,67,75,100,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, highly residential",100,NA,67,0,1,78,40,NA,0,"No",0,21296194,0,1467763,0,1245863,4056719,11429622
107071,"Henderson State University",83,8894,51,4330,46,6712,11910,9810,12172,8530,10180,10000,7166,20996,22646,25130,26780,34,27,40,26,33,40,32,27,41,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",64,0,3404,19,5,67,57,6033,0,"No",3,19594997,199304,7207492,503935,6388949,20582629,60628336
107080,"Hendrix College",100,38255,30,4518,48,6448,NA,NA,NA,45790,45790,9286,12284,63174,63174,60176,60176,71,66,75,37,76,76,61,60,76,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",86,NA,1202,8,6,70,52,NA,0,"No",0,206383801,1295237,10558338,0,4421878,18060066,35254392
198677,"Heritage Bible College",88,3433,75,3630,78,8261,NA,NA,NA,8328,8328,9918,NA,NA,NA,23326,23326,33,NA,33,0,NA,50,50,NA,NA,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, very small, primarily residential",80,33,32,31,3,63,56,NA,NA,"Yes",100,99538,0,43000,0,17533,112383,393941
101453,"Heritage Christian University",96,8187,43,3953,4,6899,NA,NA,NA,11232,11232,11574,5745,20695,20695,27379,27379,50,100,0,NA,NA,50,0,NA,100,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, very small, primarily nonresidential",100,NA,51,8,8,76,4,NA,0,"No",51,10288695,14435,396591,66250,178452,598113,5817221
235422,"Heritage University",95,15077,70,4771,54,6048,NA,NA,NA,17914,17914,9690,NA,NA,NA,32204,32204,29,32,28,0,32,50,29,100,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, very small, primarily nonresidential",64,0,777,0,68,14,74,NA,0,"No",1,23930971,0,2652347,439456,1677215,11241763,24073049
140340,"Herzing University-Atlanta",93,6202,73,4719,79,9553,NA,NA,NA,14000,14000,10314,NA,NA,NA,30119,30119,11,0,14,6,0,NA,10,40,100,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",46,0,695,70,3,10,79,NA,NA,"No",63,NA,0,3281872,0,323362,2349521,11215579
459842,"Herzing University-Kenosha",88,8289,66,5493,81,11580,NA,NA,NA,14000,14000,10314,NA,NA,NA,30119,30119,43,40,44,50,25,47,34,75,50,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, very small, primarily nonresidential",73,100,428,14,19,53,85,NA,NA,"No",28,NA,0,1504961,0,267540,2099439,6142226
240392,"Herzing University-Madison",92,5512,73,4310,82,8715,NA,NA,NA,14000,14000,10314,NA,NA,NA,30119,30119,27,28,26,21,0,28,28,18,13,"No","Private not-for-profit, 4-year or above","Degree-granting, not primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",33,33,1577,28,6,47,80,NA,0,"No",90,NA,0,19579591,0,2757539,13871296,40832649
174154,"Herzing University-Minneapolis",89,8190,63,4473,85,10018,NA,NA,NA,14000,14000,10314,NA,NA,NA,30119,30119,0,NA,0,0,NA,0,67,0,40,"No","Private not-for-profit, 4-year or above","Degree-granting, not primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",47,60,436,17,4,42,86,NA,NA,"No",28,NA,0,1598003,0,353734,2552612,7030959
198695,"High Point University",79,12889,11,4513,42,6332,NA,NA,NA,35118,35118,11500,14130,52998,52998,50618,50618,65,60,68,44,61,67,57,70,64,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",81,NA,4545,5,5,77,57,NA,1,"No",0,63760429,0,34871495,0,7782012,58490012,243203290
191621,"Hilbert College",95,12325,50,4401,87,5972,NA,NA,NA,22350,22350,5400,9350,34250,34250,30300,30300,55,60,51,47,60,57,49,67,82,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily residential",68,100,732,5,7,70,56,NA,0,"No",1,7444295,0,3829382,0,700001,4896380,13058276
170286,"Hillsdale College",98,19821,0,NA,0,NA,NA,NA,NA,27578,27578,11000,11000,41778,41778,41778,41778,87,82,91,NA,NA,NA,NA,NA,87,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",91,NA,1468,0,0,0,48,NA,0,"No",0,668451311,0,12046290,0,2911418,44545232,200244211
203128,"Hiram College",62,24752,38,4478,53,7451,NA,NA,NA,36358,36358,9184,10290,49815,49815,49053,49053,58,47,69,37,44,65,56,54,68,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, very small, highly residential",76,NA,1244,13,5,46,57,NA,0,"No",1,74259063,0,6624771,0,3118294,9013046,31542209
191630,"Hobart William Smith Colleges",93,33471,20,4773,59,6332,NA,NA,NA,55255,55255,14785,14785,72040,72040,72040,72040,78,75,82,90,78,78,77,82,77,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",86,NA,2229,6,5,73,51,NA,0,"No",0,232058732,1432789,26202822,111285,11040525,35186920,105242631
134510,"Hobe Sound Bible College",69,4202,64,4157,14,4528,NA,NA,NA,6595,6595,6170,6170,15865,15865,15425,15425,40,100,25,NA,NA,40,42,NA,75,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",77,NA,220,9,10,65,46,NA,NA,"No",62,2664508,0,287183,0,88663,1882523,4861638
367884,"Hodges University",65,5187,53,3686,62,6626,NA,NA,NA,14180,14180,11448,NA,NA,NA,31029,31029,15,14,15,9,21,11,24,9,23,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",48,38,853,12,41,40,59,NA,1,"No",36,2826636,0,2776572,0,3273043,6316864,19558895
191649,"Hofstra University",87,24699,22,4726,47,6461,NA,NA,NA,45700,45700,20323,14998,63748,63748,69531,69531,63,58,67,48,60,68,55,66,64,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, large, highly residential",82,0,6701,9,12,55,55,NA,3,"No",0,611432662,2140872,57602373,10616570,33419623,182587858,430886793
232308,"Hollins University",99,33054,36,4954,67,7478,NA,NA,NA,39035,39035,12500,13620,55655,55655,53035,53035,55,NA,55,40,75,55,51,57,58,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, very small, highly residential",78,NA,676,10,7,63,100,NA,0,"No",0,186334766,398975,5304748,0,3809269,14776717,31521539
129534,"Holy Apostles College and Seminary",28,3875,27,3983,23,3864,NA,NA,NA,7870,7870,9750,12850,22220,22220,19320,19320,50,50,NA,NA,NA,0,100,100,33,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",80,89,166,1,14,48,51,NA,0,"No",74,NA,0,165212,0,181074,1168349,3565463
150774,"Holy Cross College",83,20797,26,4369,47,6169,NA,NA,NA,30700,30700,8694,11500,45744,45744,42938,42938,39,38,42,25,47,39,26,46,44,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, highly residential",40,82,499,8,15,63,39,NA,0,"No",0,2961465,0,2905551,190872,951397,2522118,13198186
212984,"Holy Family University",77,17339,37,4470,70,7409,NA,NA,NA,30346,30346,10062,14500,46850,46850,42838,42838,60,55,61,29,61,62,49,58,76,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",79,20,2069,13,2,61,73,NA,1,"No",1,19989472,0,5473518,0,3735056,22286717,47840242
115728,"Holy Names University",98,30798,53,4709,82,10433,NA,NA,NA,39316,39316,15310,13190,57674,57674,60802,60802,48,45,51,36,53,52,45,49,54,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, highly residential",63,100,632,18,43,16,65,NA,0,"No",0,51917540,0,6963985,3678746,3386760,8722119,28897804
162760,"Hood College",95,26727,37,4977,68,7049,NA,NA,NA,39492,39492,11822,12700,56586,56586,55708,55708,66,57,72,52,62,69,46,68,78,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",71,100,1092,18,11,57,63,NA,0,"No",0,99715827,0,8027824,0,3679200,15907012,47314963
170301,"Hope College",89,15884,18,4305,52,6378,NA,NA,NA,34010,34010,2760,10310,47000,47000,39910,39910,79,72,84,63,72,81,72,79,83,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, highly residential",89,NA,3149,3,7,82,62,NA,1,"No",0,225656000,6402000,17027000,0,10698000,39414000,124602000
120537,"Hope International University",71,17117,50,4191,66,7193,NA,NA,NA,33400,33400,13779,10490,49047,49047,53344,53344,42,38,44,33,32,56,41,74,36,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, primarily residential",58,0,743,8,32,34,57,NA,1,"No",35,7302737,0,7216492,0,1962659,6347290,23015249
191676,"Houghton College",96,25468,45,4248,68,6540,NA,NA,NA,32488,32488,6000,9288,45626,45626,42888,42888,71,70,71,60,50,72,69,67,79,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Remote","Four-year, small, highly residential",91,NA,988,6,2,72,60,NA,1,"No",6,56219658,23361,8052517,36047,2566339,11282405,30265361
225399,"Houston Baptist University",91,21270,45,4771,54,6593,NA,NA,NA,32530,32530,9650,8328,46340,46340,48980,48980,40,34,44,27,40,50,33,46,48,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily residential",69,11,2321,17,36,24,64,NA,0,"No",8,102429599,0,9528011,0,4903151,22943506,83967699
225548,"Howard Payne University",76,18039,32,4808,60,6581,NA,NA,NA,28090,28090,5800,8580,40566,40566,38060,38060,44,36,56,27,32,51,53,53,31,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, very small, highly residential",49,43,962,12,24,53,46,NA,0,"No",0,63937456,0,6245688,0,1075184,8704206,17782176
131520,"Howard University",82,21647,44,5014,56,6800,NA,NA,NA,26756,26756,NA,13895,44651,44651,NA,NA,62,56,65,63,100,58,62,59,66,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",85,0,6243,88,1,2,69,NA,5,"No",0,688562000,42925000,34090000,12495000,53599000,218158000,935673000
115773,"Humphreys University-Stockton and Modesto Campuses",61,9604,58,5579,60,7480,NA,NA,NA,14292,14292,13779,NA,NA,NA,34236,34236,29,50,13,0,25,25,15,75,91,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",100,NA,317,9,38,19,68,NA,0,"No",12,202647,0,988346,136938,1344907,2763998,7392566
101435,"Huntingdon College",95,13978,44,4573,72,6958,NA,NA,NA,27400,27400,7750,9750,38485,38485,36485,36485,43,35,54,31,20,49,34,52,50,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, primarily residential",67,NA,1081,22,6,65,50,NA,0,"No",0,51200406,0,6843952,0,2118847,6485345,23333211
150941,"Huntington University",75,14756,35,4435,60,6666,NA,NA,NA,26158,26158,8650,8668,38222,38222,37158,37158,61,63,60,43,70,63,50,60,75,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",82,0,1047,2,6,83,58,NA,3,"No",6,28719627,0,6180557,0,2554392,12355504,29656853
449348,"Huntsville Bible College",85,2862,75,3164,75,8499,NA,NA,NA,4560,4560,6750,NA,NA,NA,17425,17425,100,NA,100,100,NA,NA,100,NA,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, primarily nonresidential",0,0,105,96,0,2,68,NA,NA,"No",12,NA,0,12555,1275,9026,407339,747931
487524,"Husson University",86,10232,42,4430,74,7017,NA,NA,NA,18170,18170,9900,9830,31150,31150,31620,31620,54,46,61,21,43,56,48,60,66,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, primarily residential",75,63,2910,4,1,84,59,NA,0,"No",13,18551272,0,8653662,0,7814347,19868383,57103686
225575,"Huston-Tillotson University",87,7950,73,4449,92,7364,NA,NA,NA,14346,14346,7650,7568,24414,24414,24496,24496,23,15,31,23,9,17,18,36,42,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily residential",64,NA,1119,64,27,5,62,NA,1,"No",0,9907917,0,4114783,0,1383704,4311247,23062995
142276,"Idaho State University",52,6990,33,4320,36,6779,13135,14680,20022,7420,22940,8280,7207,21548,37068,22621,38141,32,27,36,36,35,30,26,34,40,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, primarily nonresidential",63,42,10401,1,12,72,56,6041,2,"No",9,57584648,17213329,12138640,4411203,25455271,121513281,259321343
145691,"Illinois College",99,25186,43,4831,88,6735,NA,NA,NA,33090,33090,5940,9280,43870,43870,40530,40530,70,68,72,50,72,75,65,76,69,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, very small, highly residential",77,NA,983,10,7,72,51,NA,0,"No",0,137753933,0,10010577,0,4173775,9159127,27056722
145725,"Illinois Institute of Technology",93,33305,31,5032,43,7205,NA,NA,NA,47646,47646,10800,12762,65386,65386,65654,65654,72,69,81,65,57,79,66,69,79,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",86,NA,3026,5,16,35,31,NA,4,"No",1,248557000,55717000,17244000,0,13277000,85868000,268550000
145813,"Illinois State University",61,9381,30,4737,56,6311,20093,14470,27109,14516,26040,8836,9850,29758,41282,30548,42072,69,62,74,49,62,72,61,70,73,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, large, primarily residential",79,68,18107,9,11,73,55,7630,0,"No",1,128825072,26480414,55884909,18071563,28881189,155147439,563017880
145646,"Illinois Wesleyan University",100,28264,24,4643,65,6687,NA,NA,NA,47636,47636,10984,10984,61020,61020,61020,61020,79,78,80,71,63,83,71,81,82,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",91,NA,1693,6,9,69,52,NA,1,"No",0,233815113,210826,8990119,0,4154321,34438417,76748407
213011,"Immaculata University",62,11291,26,4574,56,7753,NA,NA,NA,27350,27350,12620,12620,46000,46000,46000,46000,69,64,70,42,60,73,55,72,77,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, primarily residential",75,33,1504,14,6,72,73,NA,1,"No",16,19677380,0,8064033,0,2225739,13790212,38620717
151290,"Indiana Institute of Technology",87,19259,40,4520,74,7445,NA,NA,NA,26900,26900,7515,10020,41116,41116,39633,39633,36,35,38,17,28,45,28,42,54,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, primarily nonresidential",63,NA,1524,17,6,48,33,NA,0,"No",0,131111439,0,11962761,0,3570763,18766799,71531460
